season,ranker,team,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,made_playoffs
2001,28,Golden State Warriors,82,19780,37.9,92.5,0.40900000000000003,3.6,12.4,0.29300000000000004,34.2,80.1,0.42700000000000005,18.4,26.1,0.706,17.3,30.8,48.1,23.1,9.6,5.3,16.8,22.3,97.8,FALSE
2001,29,Chicago Bulls,82,19855,36.8,86.8,0.42400000000000004,4.5,12.9,0.346,32.4,73.9,0.43800000000000006,19.1,25.8,0.739,12.5,30.6,43.1,24.5,9.1,5.1,17.5,25.7,97.2,FALSE
2002,1,Dallas Mavericks,82,19880,41.6,90.1,0.462,8.1,21.4,0.378,33.5,68.7,0.48800000000000004,20.9,25.9,0.806,11.9,33.4,45.3,23.6,7.6,5.1,12.9,24,112.2,TRUE
2002,2,Los Angeles Lakers,82,19780,41.5,90.1,0.461,6.7,19,0.354,34.8,71.2,0.48900000000000005,19.7,28.2,0.699,13.5,34.3,47.8,24.8,8.2,6.3,13.7,24,109.4,TRUE
2002,3,Minnesota Timberwolves,82,19805,42.5,92.2,0.461,5.3,14,0.378,37.2,78.2,0.47600000000000003,18.7,23.5,0.7979999999999999,14.2,34.3,48.5,26.7,7,5.7,14.7,23.3,109,TRUE
2002,4,Sacramento Kings,82,19755,41.5,89,0.467,5.4,14.7,0.367,36.1,74.3,0.48600000000000004,20.6,27.4,0.751,12.9,34.3,47.2,24.9,9.4,4.8,14.3,19.8,109,TRUE
2002,5,Seattle SuperSonics,82,19830,42.6,90.8,0.46900000000000003,6.6,17.6,0.378,35.9,73.3,0.49,17.2,22.7,0.755,13.2,31.7,44.9,26.2,9.5,4.9,15.3,23.5,108.9,TRUE
2002,6,Portland Trail Blazers,82,19830,40.7,90.4,0.45,6.3,17.9,0.354,34.4,72.5,0.47400000000000003,19.7,25.8,0.763,14.7,33.1,47.8,26.1,9.5,5,15.9,21.8,107.4,TRUE
2002,7,Orlando Magic,82,19830,40.1,89.5,0.448,8.1,21.6,0.373,32,68,0.47100000000000003,18.8,24.9,0.754,12.2,31.7,43.9,23.4,8.6,5,14.5,22.1,107,TRUE
2002,8,Milwaukee Bucks,82,19905,40.6,87.9,0.462,7.9,21.2,0.375,32.7,66.7,0.49,17.7,23.6,0.748,11.2,34.2,45.4,24.7,8,5.2,15.5,23.9,106.9,FALSE
